model,variant,target,r2,mae,rmse
RGB_X/absolute30/position,shuffled,player3.location.x,-0.02181445747326416,1788.461995684646,2152.3430945004316
RGB_X/absolute30/position,shuffled,player3.location.y,0.003761720629305909,2350.879541466199,2786.2241867522594
RGB_X/absolute30/position,shuffled,player3.location.z,-0.03358569766478392,89.13988054437996,176.65488242314925
RGB_X/absolute30/position,mean_baseline,ball.location.x,-0.015292177830805498,1947.3397000162636,2317.8727729467046
RGB_X/absolute30/position,mean_baseline,ball.location.y,-0.009580783883050614,2301.5412136672608,2730.790030642984
RGB_X/absolute30/position,mean_baseline,ball.location.z,-0.011644381696993333,374.2821438935884,471.1725480170597
RGB_X/absolute30/position,mean_baseline,player0.location.x,-0.004061532980069504,1791.291018186244,2138.559173126263
RGB_X/absolute30/position,mean_baseline,player0.location.y,-0.005247244997540257,2275.493365710031,2634.2921980254073
RGB_X/absolute30/position,mean_baseline,player0.location.z,-0.0007059736389880555,89.94023355699402,162.60487028163828
RGB_X/absolute30/position,mean_baseline,player1.location.x,-0.014778076768861448,1727.8257044851055,2100.8900829340287
RGB_X/absolute30/position,mean_baseline,player1.location.y,-0.015010201279291202,2197.192751359771,2606.1406860804723
RGB_X/absolute30/position,mean_baseline,player1.location.z,-0.009584642205668237,97.80023404255002,139.71330934018368
RGB_X/absolute30/position,mean_baseline,player2.location.x,-0.005440806206312265,1752.2053648317922,2133.953212522112
RGB_X/absolute30/position,mean_baseline,player2.location.y,-0.003419445648666475,2470.760593324129,2928.3109621467024
RGB_X/absolute30/position,mean_baseline,player2.location.z,-0.0002812393951454606,97.47023478301243,167.43726045096446
RGB_X/absolute30/position,mean_baseline,player3.location.x,-0.0030909602692983373,1765.057534397913,2132.5323990091183
RGB_X/absolute30/position,mean_baseline,player3.location.y,-0.0010031081229333605,2359.367222481406,2792.879243679567
RGB_X/absolute30/position,mean_baseline,player3.location.z,-0.011126232374874645,89.00177108944708,174.72501578367607
RGB_X/absolute30/velocity,main,ball.velocity.x,-0.0047816951650825334,677.6399183223781,853.2647468814229
RGB_X/absolute30/velocity,main,ball.velocity.y,-0.014449295449091126,1004.1493005694622,1228.4093432006282
RGB_X/absolute30/velocity,main,ball.velocity.z,-0.010737864290471189,396.12158676688335,538.7269609540979
RGB_X/absolute30/velocity,main,player0.velocity.x,0.0320204028875839,716.3796381702414,875.8211637502682
RGB_X/absolute30/velocity,main,player0.velocity.y,0.008450514741328852,974.9494707393262,1132.9602245780377
RGB_X/absolute30/velocity,main,player0.velocity.z,0.010094535057329046,80.2009349108672,165.16898824183565
RGB_X/absolute30/velocity,main,player1.velocity.x,0.003273400858551545,687.3860117630717,839.3125754130076
RGB_X/absolute30/velocity,main,player1.velocity.y,-0.0032905444352868685,915.2778526045084,1076.4638867497395
RGB_X/absolute30/velocity,main,player1.velocity.z,-0.03672056069067797,115.43962369944248,212.72795695444972
RGB_X/absolute30/velocity,main,player2.velocity.x,0.008956784147614028,744.3856936887673,884.2743175889076
RGB_X/absolute30/velocity,main,player2.velocity.y,-0.014910388139520503,949.9292449528717,1116.7151703429051
RGB_X/absolute30/velocity,main,player2.velocity.z,-0.022655646580567845,121.53798433905365,234.83021716140118
RGB_X/absolute30/velocity,main,player3.velocity.x,-0.01946692904198377,749.3077739554702,895.340042085096
RGB_X/absolute30/velocity,main,player3.velocity.y,-0.07965572627017758,958.1365308334416,1121.5866442475203
RGB_X/absolute30/velocity,main,player3.velocity.z,-0.046147026658358126,100.09947267440394,186.8020344463401
RGB_X/absolute30/velocity,shuffled,ball.velocity.x,-0.013842164400428514,676.8419174065638,857.1032069798856
RGB_X/absolute30/velocity,shuffled,ball.velocity.y,-0.002793190663826328,994.4224622822998,1221.3316922116849
RGB_X/absolute30/velocity,shuffled,ball.velocity.z,-0.007889392583430022,399.01223256759096,537.9673024627291
RGB_X/absolute30/velocity,shuffled,player0.velocity.x,-0.002472387620029215,738.7840967099529,891.288993210453
RGB_X/absolute30/velocity,shuffled,player0.velocity.y,-0.005728733790176799,986.6940013019113,1141.032187095221
RGB_X/absolute30/velocity,shuffled,player0.velocity.z,0.004023439573582643,74.11529513769293,165.6747051777815
RGB_X/absolute30/velocity,shuffled,player1.velocity.x,-0.004173811421248841,686.4614763458641,842.4422735907996
RGB_X/absolute30/velocity,shuffled,player1.velocity.y,-0.0001278245130700295,916.8031722116704,1074.76585365248
RGB_X/absolute30/velocity,shuffled,player1.velocity.z,-0.014673072970565748,111.05857086984821,210.45380440284774
RGB_X/absolute30/velocity,shuffled,player2.velocity.x,-0.009220544893727922,746.4480044683062,892.346977117082
RGB_X/absolute30/velocity,shuffled,player2.velocity.y,-0.018225534985172542,952.5870255561122,1118.5375265780597
RGB_X/absolute30/velocity,shuffled,player2.velocity.z,-0.0061503746214919275,117.15236830001237,232.9274734873293
RGB_X/absolute30/velocity,shuffled,player3.velocity.x,-0.0007628148888056963,743.1740637029516,887.0886379894138
RGB_X/absolute30/velocity,shuffled,player3.velocity.y,-0.028242501214877036,935.7135146826532,1094.5559303511022
